,Job,Program,ProgSkills,C,CPP,CS,Java,Python,JS,R,SQL,SAS,Excel,Tableau,Regression,Classification,Clustering,Bach_0to1,Bach_1to3,Bach_3to5,Bach_5Plus,Languages,Expert
0,0,MSIS,4,1,1,0,0,1,1,0,1,0,1,1,1,4,4,0,1,0,0,6,1
1,0.5,MSIS,3,1,1,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,1,4,1
2,0,MSIS,3,0,0,0,1,1,0,0,1,0,1,0,1,3,3,0,0,1,0,3,1
3,0,MSIS,3,1,0,0,1,1,0,1,1,0,1,0,1,2,3,0,0,0,1,5,1
4,0,MSIS,3,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,4,1
5,1,Supply Chain Mgmt & Analytics,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0
6,0,MSIS,3,1,1,0,1,0,0,0,1,0,1,0,0,2,2,0,1,0,0,4,1
7,0,MSIS,2,1,0,0,1,0,0,0,1,0,1,1,0,2,2,1,0,0,0,3,1
8,1,MBA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
9,0.5,MSIS,3,1,0,0,1,1,0,0,1,0,1,1,1,2,1,0,0,0,1,4,1
10,0.5,MBA,4,1,1,1,1,0,0,0,1,0,1,0,1,2,2,0,0,0,1,5,1
11,1,MBA,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
12,0.5,MSIS,4,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,5,1
13,0,Supply Chain Mgmt & Analytics,2,1,1,0,0,0,0,0,1,0,1,0,1,3,1,1,0,0,0,3,1
14,1,MBA,5,1,1,0,1,0,1,0,1,0,1,0,1,2,2,0,0,0,1,5,1
15,1,MBA,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
16,1,Faculty!,3,1,1,0,1,0,0,0,1,1,1,1,1,4,5,0,0,0,1,3,1
17,1,MBA,4,0,0,0,0,1,,1,1,,1,0,1,4,4,0,0,0,1,3,1
18,0.5,MBA,2,0,0,0,0,0,0,1,0,0,1,0,1,2,2,0,1,0,0,1,0
19,0,MSIS,5,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,4,1
